id,price
188533,17674.007939189585
188534,77420.32416904155
188535,55610.12118454907
188536,22355.948473061944
188537,30359.349993187763
188538,16142.539521596127
188539,10424.35779591097
188540,41763.91149732227
188541,85580.54731800932
188542,30446.277111290136
188543,24587.404770999663
188544,11715.055074417007
188545,52619.44448490455
188546,120428.20737765847
188547,19381.81789234797
188548,129016.122674319
188549,21927.795334552284
188550,9897.83826377341
188551,84675.9259595429
188552,56682.53092564546
188553,70477.69222246468
188554,20823.404960388198
188555,34356.48266453317
188556,19928.25637428859
188557,23428.289942839147
188558,68139.40608359805
188559,29901.72645548866
188560,14676.135297706567
188561,81157.70290709754
188562,23966.607889980358
188563,95235.73203801515
188564,51013.50523591116
188565,40795.26651298267
188566,28057.84043548216
188567,17032.234936220215
188568,46142.86823849266
188569,17435.74776174009
188570,17328.09147632235
188571,36639.02934160323
188572,102446.54709830659
188573,24665.331315345058
188574,34914.559985068605
188575,46719.219335011214
188576,33814.2150909935
188577,10822.74149939174
188578,38546.19472735317
188579,40841.70346890326
188580,40186.324861640765
188581,87092.10917849411
188582,25156.304651218496
188583,91266.32668264907
188584,33561.822960767146
188585,38323.652247257225
188586,30124.77552937347
188587,78238.94186570101
188588,26069.660620389128
188589,16499.757404251104
188590,27761.32004026012
188591,25798.146305847415
188592,38170.63763038597
188593,27699.321963624192
188594,69847.86248108534
188595,24446.32189303009
188596,73433.47716411711
188597,27115.201407078384
188598,26188.26657899943
188599,14046.990691396291
188600,55109.58639175574
188601,61797.968161722805
188602,33863.76912659902
188603,142290.24078496068
188604,10768.30222465788
188605,50129.38273831722
188606,38660.21909080531
188607,57018.8843538763
188608,13976.312657345945
188609,53898.856033024844
188610,50091.19968252334
188611,19360.0283531712
188612,66923.11389695578
188613,22235.84885716057
188614,16745.096020578985
188615,35952.38955263688
188616,88781.51968153552
188617,48984.0566018115
188618,25213.30610948535
188619,81946.82702266703
188620,18711.143191393145
188621,22810.004869084412
188622,73905.40495612062
188623,52867.32630417446
188624,40413.852245605165
188625,28748.936893392005
188626,16662.084824216065
188627,129383.84804779857
188628,87081.08430121804
188629,29940.934141116766
188630,23014.58481910224
188631,60773.26307436991
188632,54479.16060509789
188633,56682.53092564546
188634,9698.271815905013
188635,23357.691358213517
188636,51143.30940952294
188637,9564.130564380781
188638,32803.81426379429
188639,24501.21932801865
188640,11985.380517312107
188641,25963.541000999125
188642,14652.720198810814
188643,77688.16608870738
188644,91920.73014650634
188645,60760.95657186252
188646,11245.44914553653
188647,26707.481590331427
188648,25522.558310660035
188649,43590.64965703637
188650,103113.15985164004
188651,59307.861871812434
188652,81986.28929570781
188653,62009.450882342666
188654,11795.698579304417
188655,19354.83106077941
188656,25328.99710376947
188657,34932.77862042896
188658,9665.779251208067
188659,63605.76778215358
188660,9895.365343783533
188661,102000.74183718329
188662,9357.285857716926
188663,15051.15266531408
188664,85821.04261972822
188665,102962.59596303862
188666,25962.32039726818
188667,10551.821614720362
188668,14858.476120176807
188669,28468.58347212119
188670,65892.64819214154
188671,22613.80663037358
188672,26392.353463529325
188673,58426.215334517554
188674,13336.125817074077
188675,34553.66436621426
188676,49945.00454644304
188677,9689.018954258358
188678,35451.30525176345
188679,30172.37622634286
188680,89588.90258181572
188681,12572.670415377313
188682,15339.637602046138
188683,16145.596345832271
188684,70905.76272740742
188685,51884.29991451168
